abuʃan	abușan
adʒud	adjud
afrika	africa
aɡəʃ	agăș
ajud	aiud
alba	alba
aleksandria	alexandria
aleksandru	alexandru
andora	andorra
andreesku	andreescu
anɡelutsə	angheluță
apostolesku	apostolescu
arde̯al	ardeal
ɑrdʒentina	argentina
ardʒeʃ	argeș
b	b
bakəw	bacău
basarabe̯aska	basarabeasca
bejuʃ	beiuș
belize	belize
berlin	berlin
bihor	bihor
bistritsa	bistrița
blaʒ	blaj
boldeʃtj	boldești
botoʃanj	botoșani
brad	brad
braʃov	brașov
breban	breban
britʃenj	briceni
brəila	brăila
bukureʃtj	bucurești
bulɡarja	bulgaria
bulɡaru	bulgaru
buzojanu	buzoianu
buzəw	buzău
bɨrlad	bârlad
bəileʃtj	băilești
bəltsj	bălți
k	c
tʃ	c
sidi	cd
kahul	cahul
kalafat	calafat
karakal	caracal
karansebeʃ	caransebeș
karej	carei
karintia	carintia
karintja	carintia
katalonia	catalonia
kina	china
kiril	chiril
tʃjukə	ciucă
kluʒ	cluj
kodle̯a	codlea
kodoj	codoi
kolteʃtj	coltești
komrat	comrat
konstantsa	constanța
kosteʃtj	costești
kovasna	covasna
krajova	craiova
kristesku	cristescu
kristian	cristian
kristjan	cristian
kriulenj	criuleni
krətʃjun	crăciun
kupidon	cupidon
kɨmpuluŋɡ	câmpulung
kələraʃj	călărași
d	d
datʃia	dacia
deʒ	dej
deva	deva
dionis	dionis
dolʒ	dolj
dorohoj	dorohoi
drokija	drochia
drəɡəʃanj	drăgășani
dud	dud
dɨmbovitsa	dâmbovița
e	e
je	e
edʒipt	egipt
e̞lve̞tsia	elveția
eurovizion	eurovision
f	f
feteʃtj	fetești
fidʒi	fiji
florentsa	florența
floresku	florescu
floreʃtj	florești
fokʃanj	focșani
frunzə	frunză
fəleʃtj	fălești
fəltitʃenj	fălticeni
dʒ	g
ɡ	g
ɡalatsj	galați
dʒe̯ordʒe	george
dʒermania	germania
dʒjurdʒju	giurgiu
ɡlodenj	glodeni
ɡorʒ	gorj
ɡriɡoresku	grigorescu
ɡriɡoriopol	grigoriopol
ɡwatemala	guatemala
h	h
harɡita	harghita
hristos	hristos
hunedo̯ara	hunedoara
huʃj	huși
hɨntʃeʃtj	hîncești
i	i
j	i
j	i
jakobesku	iacobescu
jalomitsa	ialomița
jalovenj	ialoveni
jaʃj	iași
ilfov	ilfov
joan	ioan
islanda	islanda
italia	italia
ʒ	j
ʒak	jac
ʒune	june
k	k
kuvejt	kuweit
l	l
londra	londra
luɡoʒ	lugoj
lupenj	lupeni
ləməʃanu	lămășanu
m	m
mantʃjuria	manciuria
mane̯a	manea
maŋɡalia	mangalia
maramureʃ	maramureș
marɡita	marghita
marsilja	marsilia
meddʒidia	medgidia
medʒidia	medgidia
mediaʃ	mediaș
mehedintsj	mehedinți
mihəjl̪eʃt̪j	mihăilești
mirtʃe̯a	mircea
mojneʃtj	moinești
morenj	moreni
motru	motru
muntenia	muntenia
mureʃ	mureș
mərkuleʃtj	mărculești
ne̯amts	neamț
neɡresku	negrescu
nikolae	nicolae
nikulete	niculete
nistru	nistru
nistrule	nistrule
o	o
olɡa	olga
olt	olt
oltenitsa	oltenița
oltul	oltul
oneʃtj	onești
orade̯a	oradea
orhej	orhei
orəʃtie	orăștie
orʃova	orșova
p	p
pandora	pandora
paʃkanj	pașcani
petroʃanj	petroșani
pjemont	piemont
piteʃtj	pitești
platon	platon
plojeʃtj	ploiești
prahova	prahova
k	q
r	r
raluka	raluca
rezina	rezina
reʃitsa	reșița
roman	roman
romɨnia	românia
romɨnie	românie
romɨniej	româniei
rusia	rusia
rɨʃkanj	rîșcani
rədəutsj	rădăuți
rəzvanj	răzvani
s	s
salonta	salonta
sebeʃ	sebeș
sibiw	sibiu
siɡiʃo̯ara	sighișoara
simionesku	simionescu
siret	siret
slatina	slatina
slobozia	slobozia
s̪or̪oka	soroca
stiria	stiria
stirja	stiria
strəʃenj	strășeni
sutʃe̯ava	suceava
s̪ɨn̪dʒer̪ei	sîngerei
sətʃele	săcele
səlaʒ	sălaj
t	t
taraklia	taraclia
tekutʃj	tecuci
tele̯aʒen	teleajen
teleneʃtj	telenești
teleorman	teleorman
timiʃ	timiș
timiʃo̯arej	timișoarei
t̪ir̪as̪pol̪	tiraspol
toplitsa	toplița
tultʃe̯a	tulcea
turtʃesku	turcescu
turda	turda
tɨrɡoviʃte	târgoviște
tɨrnəvenj	târnăveni
u	u
uɛrɛsɛs	urss
ukraina	ucraina
ukrajna	ucraina
uŋɡenj	ungheni
v	v
vasluj	vaslui
vrantʃe̯a	vrancea
vɨltʃe̯a	vâlcea
u	w
v	w
w	w
wiktsionar	wikționar
ks	x
ɡz	x
iksulesku	xulescu
i	y
j	y
z	z
zaləw	zalău
aba	aba
abak	abac
abatʃe	abace
abadʒerie	abagerie
abadʒiw	abagiu
abaʒur	abajur
abandon	abandon
abandona	abandona
abandonabil	abandonabil
abandonat	abandonat
abandonɨnd	abandonând
abataʒ	abataj
abatesə	abatesă
abaksjal	abaxial
abdika	abdica
abdomen	abdomen
abdominal	abdominal
aberant	aberant
aberativ	aberativ
abia	abia
abja	abia
abilita	abilita
abiotik	abiotic
abʒekt	abject
abneɡatsie	abnegație
abominabil	abominabil
abordaʒ	abordaj
abreviatsie	abreviație
abreviere	abreviere
abrupt	abrupt
absent	absent
apsent	absent
absolut	absolut
apsolut	absolut
absolutist	absolutist
absolutiza	absolutiza
absorbe̯am	absorbeam
absorbit	absorbit
abstrakt	abstract
absurd	absurd
abumarkub	abumarkub
abunda	abunda
abundent	abundent
abur	abur
aburka	aburca
abuz	abuz
abətut	abătut
ak	ac
akademik	academic
akademikə	academică
akaʒu	acaju
akar	acar
akarinatə	acarinată
aktʃe̯a	accea
aktʃede	accede
aktʃedere	accedere
aktʃelera	accelera
aktʃelerasem	accelerasem
aktʃepta	accepta
aktʃesibil	accesibil
aktʃidental	accidental
atʃe̯a	acea
atʃe̯asta	aceasta
atʃastə	această
atʃee̯aʃj	aceeași
atʃejaʃj	aceeași
atʃej	acei
atʃejaʃj	aceiași
atʃel	acel
atʃela	acela
atʃelaʃj	același
atʃele	acele
atʃele̯aʃj	aceleași
atʃelej	acelei
atʃelejaʃj	aceleiași
atʃelor	acelor
atʃeloraʃj	acelorași
atʃeluj	acelui
atʃelujaʃj	aceluiași
atʃera	acera
atʃerə	aceră
atʃest	acest
atʃesta	acesta
atʃeste̯a	acestea
atʃesteja	acesteia
atʃestora	acestora
atʃestuja	acestuia
atʃetil	acetil
atʃetilsalitʃilik	acetilsalicilic
atʃeʃtj	acești
atʃeʃtja	aceștia
akizitsie	achiziție
akizitsionare	achiziționare
atʃi	aci
atʃira	acira
atʃjua	aciua
akoladə	acoladă
akolo	acolo
akoperi	acoperi
akoperit	acoperit
akorda	acorda
akre	acre
akre̯a	acrea
akre̯alə	acreală
akri	acri
akriʃor	acrișor
akru	acru
akt	act
aktiv	activ
aktiva	activa
aktor	actor
aktuar	actuar
akum	acum
akuma	acuma
akumula	acumula
akuza	acuza
akuzat	acuzat
akuzatsie	acuzație
akvatik	acvatic
akvilidə	acvilidă
akətərij	acătării
adaliw	adaliu
adaptabil	adaptabil
adeninə	adenină
adese̯a	adesea
adeseorj	adeseori
adevər	adevăr
adevərat	adevărat
adevərurj	adevăruri
adia	adia
adiktiv	adictiv
adiktsije	adicție
adine̯aurj	adineauri
adio	adio
adʒektival	adjectival
adʒudeka	adjudeca
administra	administra
administrativ	administrativ
administrato̯are	administratoare
administrator	administrator
administratsie	administrație
administratsiː	administrații
admira	admira
admiratsie	admirație
admisibil	admisibil
adnota	adnota
adopta	adopta
adora	adora
adorabil	adorabil
adorator	adorator
adoratsie	adorație
adormit	adormit
adutʃe	aduce
adukt	aduct
adukəto̯are	aducătoare
adular	adular
adulmeka	adulmeca
adult	adult
adulte	adulte
adultera	adultera
aduna	aduna
adunətor	adunător
adverb	adverb
adverbial	adverbial
adɨŋk	adânc
adɨntʃi	adânci
adɨntʃj	adânci
adəpa	adăpa
adəpostit	adăpostit
adəsta	adăsta
adəuɡa	adăuga
aera	aera
afatʃere	afacere
afemejat	afemeiat
aferim	aferim
afiʃa	afișa
afiʃabil	afișabil
afiʃaʒ	afișaj
afla	afla
afront	afront
afuma	afuma
afund	afund
afunda	afunda
afurisit	afurisit
afɨna	afâna
aɡat	agat
adʒente	agente
adʒer	ager
adʒita	agita
aɡlomerat	aglomerat
aɡlomeratsie	aglomerație
aɡrafə	agrafă
aɡrava	agrava
aɡresiv	agresiv
aɡrikol	agricol
aɡrikultor	agricultor
aɡrimensor	agrimensor
aɡriʃə	agrișă
aɡronom	agronom
aɡronoma	agronoma
aɡronomə	agronomă
aɡura	agura
aɡuridə	aguridă
aɡust	agust
aɡətsa	agăța
aɡətsat	agățat
aj	ai
aja	aia
aitʃa	aicea
aidoma	aidoma
ajepta	aiepta
ajest	aiest
ajeve̯a	aievea
ajor	aior
ajsberɡ	aisberg
ajura	aiura
ajure̯a	aiurea
ajurit	aiurit
aʒuna	ajuna
aʒundʒe	ajunge
aʒuta	ajuta
aʒutətor	ajutător
al	al
alamə	alamă
alarma	alarma
alb	alb
alba	alba
albastru	albastru
albatros	albatros
albe	albe
albe̯a	albea
albedo	albedo
albi	albi
albj	albi
albitʃjos	albicios
albinar	albinar
albinos	albinos
albinə	albină
albinərel	albinărel
albuʃ	albuș
albə	albă
albəstre̯a	albăstrea
albəstrele	albăstrele
albəstri	albăstri
albəstriw	albăstriu
albəstruj	albăstrui
alcimik	alchimic
alkoolik	alcoolic
alkolikə	alcoolică
alkoolikə	alcoolică
ale	ale
ale̯a	alea
aleatorju	aleatoriu
alee	alee
aleɡa	alega
aledʒe	alege
aledʒe̯am	alegeam
aleɡətor	alegător
alej	alei
alene	alene
alerɡa	alerga
alerɡat	alergat
alfabet	alfabet
alfabetiza	alfabetiza
alfabetu	alfabetul
alfabetul	alfabetul
aldʒebrik	algebric
alɡoritm	algoritm
alɡə	algă
aliat	aliat
aliment	aliment
alimentarə	alimentară
alina	alina
alinta	alinta
aljo	alio
alivankə	alivancă
alo	alo
alodʒik	alogic
alotropik	alotropic
alpaka	alpaca
alt	alt
altar	altar
alttʃeva	altceva
alttʃineva	altcineva
altkumva	altcumva
altkɨndva	altcândva
altera	altera
altminterj	altminteri
altoi	altoi
altoj	altoi
altundeva	altundeva
altə	altă
altədatə	altădată
aluminifer	aluminifer
aluminju	aluminiu
alunar	alunar
aluneka	aluneca
alunekos	alunecos
alunɡa	alunga
alundʒi	alungi
alurə	alură
aləmoʒnə	alămojnă
aləpta	alăpta
alətura	alătura
altsij	alții
am	am
amabil	amabil
amabile	amabile
amabilj	amabili
amalɡam	amalgam
amaneta	amaneta
amar	amar
amara	amara
amarilis	amarilis
amarilisu	amarilisul
amarilisul	amarilisul
ambala	ambala
ambalaʒ	ambalaj
ambalaʒe	ambalaje
ambalare	ambalare
ambalərj	ambalări
ambasadə	ambasadă
ambij	ambii
ambitsie	ambiție
amenintsa	amenința
amenintsətor	amenințător
amerikan	american
amerikaŋkə	americancă
amerikanj	americani
amerikanə	americană
amesteka	amesteca
amestekat	amestecat
ametist	ametist
ametse̯alə	amețeală
ametsi	ameți
ametsit	amețit
ametsitor	amețitor
amfibian	amfibian
amfibjan	amfibian
amfibju	amfibiu
amfite̯atru	amfiteatru
amfitrion	amfitrion
amjazi	amiazi
amjazə	amiază
amik	amic
amikal	amical
amikale	amicale
amitʃitsie	amiciție
amikə	amică
amidon	amidon
aminte̯askə	amintească
amintesk	amintesc
aminti	aminti
amnar	amnar
amor	amor
ampulə	ampulă
amuza	amuza
amvon	amvon
amɨna	amâna
amənuntsit	amănunțit
aməre̯alə	amăreală
aməruj	amărui
amərɨt	amărât
amərətʃjos	amărăcios
an	an
anakruzə	anacruză
anaɡodʒik	anagogic
analist	analist
analistə	analistă
analoɡ	analog
analodʒik	analogic
ananas	ananas
anapest	anapest
anarhik	anarhic
anatide	anatide
anatomia	anatomia
anatomik	anatomic
anatomist	anatomist
anketə	anchetă
andoran	andorran
andre̯a	andrea
anekdotik	anecdotic
aneksa	anexa
anɡilə	anghilă
aŋɡlikan	anglican
aŋɡlofon	anglofon
anij	anii
anima	anima
animal	animal
animalə	animală
animato̯are	animatoare
animator	animator
animatsie	animație
anormal	anormal
anotimp	anotimp
ansamblu	ansamblu
anterior	anterior
antik	antic
antiɡuan	antiguan
antilopə	antilopă
antisotʃial	antisocial
antiviral	antiviral
antiɨmbətrɨnire	antiîmbătrânire
antrenare	antrenare
antropoloɡ	antropolog
antropoloɡə	antropologă
anual	anual
anulare	anulare
anulat	anulat
anulərj	anulări
anumit	anumit
anusu	anusul
anusul	anusul
aoleo̯	aoleo
aolew	aoleu
aparat	aparat
aparitsie	apariție
apartament	apartament
apatit	apatit
apatrid	apatrid
apikulto̯are	apicultoare
apikultor	apicultor
aplikatsie	aplicație
apokalipsu	apocalipsul
apokalipsul	apocalipsul
apokaliptiku	apocalipticul
apokaliptikul	apocalipticul
apoj	apoi
apos	apos
apriɡ	aprig
aprilije	aprilie
aprins	aprins
apropo	apropo
apuka	apuca
apus	apus
apə	apă
apərəto̯are	apărătoare
apətos	apătos
ara	ara
arab	arab
arabik	arabic
arabil	arabil
araɡonit	aragonit
arahide	arahide
arahidə	arahidă
arahnidə	arahnidă
aramə	aramă
aranʒa	aranja
aratru	aratru
arbitrar	arbitrar
arbora	arbora
aɾbore	arbore
arborikulto̯are	arboricultoare
arborikultor	arboricultor
arkaʃ	arcaș
arkuʃ	arcuș
arde	arde
are	are
arete	arete
ardʒilos	argilos
ardʒint	argint
ardʒintie	argintie
ardʒintij	argintii
arɡon	argon
arheoloɡ	arheolog
arheoloɡə	arheologă
arhikunoskut	arhicunoscut
arhitekt	arhitect
arhitektə	arhitectă
arhivar	arhivar
arhivist	arhivist
arinos	arinos
aripə	aripă
aritmetik	aritmetic
armadə	armadă
armat	armat
armator	armator
arme̯an	armean
arme̯aŋkə	armeancă
arme̯anə	armeană
armoniza	armoniza
armurier	armurier
arməsaru	armăsarul
arməsarul	armăsarul
aroɡant	arogant
arpadʒik	arpagic
ars	ars
arsen	arsen
artistik	artistic
artroɡramə	artrogramă
arəmiw	arămiu
arətor	arător
arətos	arătos
astʃensor	ascensor
askultətor	ascultător
askunde	ascunde
askunzəto̯are	ascunzătoare
askutsit	ascuțit
askutsito̯are	ascuțitoare
asemene̯a	asemenea
asemənare	asemănare
asemənətor	asemănător
asiɡura	asigura
asistat	asistat
aspirator	aspirator
aspiratsie	aspirație
asprete	asprete
aspru	aspru
aste̯a	astea
astmatik	astmatic
astmə	astmă
astrobioloɡ	astrobiolog
astrobioloɡə	astrobiologă
astrofizitʃian	astrofizician
astrofizitʃianə	astrofiziciană
astrolab	astrolab
astronaut	astronaut
astronautə	astronaută
astronom	astronom
astronomə	astronomă
astruka	astruca
astupa	astupa
astəzj	astăzi
atakant	atacant
atare	atare
atent	atent
atew	ateu
atindʒe	atinge
atlantik	atlantic
atom	atom
atotputernik	atotputernic
atotvəzətor	atotvăzător
atotʃtiutor	atotștiutor
atradʒe	atrage
atrəɡətor	atrăgător
atrəsej	atrăsei
atuntʃj	atunci
atɨt	atât
atɨta	atâta
atɨte̯a	atâtea
atɨtsja	atâția
aw	au
audiovizual	audiovizual
awɡit	augit
awɡur	augur
awɡust	august
aur	aur
auriw	auriu
australian	australian
awtobuz	autobuz
autohton	autohton
automat	automat
automate	automate
automatə	automată
autor	autor
auʃ	auș
auʃel	aușel
avantaʒos	avantajos
avaria	avaria
ave̯a	avea
aventura	aventura
avere	avere
avertiza	avertiza
aviato̯are	aviatoare
aviator	aviator
avjon	avion
aviva	aviva
avizo	avizo
avokat	avocat
avokatə	avocată
avut	avut
avɨnta	avânta
azj	azi
azot	azot
azotos	azotos
azur	azur
azurit	azurit
azuritə	azurită
aʃ	aș
aʃa	așa
aʃeza	așeza
aʃezə	așeză
b	b
baban	baban
babaw	babau
babawa	babaua
batʃj	baci
bakə	bacă
baɡatel	bagatel
baɡateliza	bagateliza
baɡdadie	bagdadie
baɡə	bagă
bajram	bairam
balkon	balcon
bale	bale
balenə	balenă
balerinə	balerină
baletistə	baletistă
balsam	balsam
balə	bală
ban	ban
bananə	banană
banknotə	bancnotă
bankrutə	bancrută
banj	bani
barabulə	barabulă
baraʒ	baraj
barbə	barbă
barman	barman
barmanitsə	barmaniță
barz	barz
barzə	barză
basketbal	baschetbal
baskə	bască
basm	basm
batat	batat
bate	bate
batist	batist
bato̯ane	batoane
baton	baton
be̯a	bea
be̯aw	beau
bebe	bebe
bip	beep
beʒ	bej
beltʃjuɡ	belciug
belenɡer	belengher
benefik	benefic
beŋɡal	bengal
benzinərie	benzinărie
bere	bere
beriliw	beriliu
berərie	berărie
bete	bete
bete̯aɡ	beteag
beteʒi	beteji
bezmetik	bezmetic
beznə	beznă
betsivan	bețivan
bianual	bianual
bjatə	biată
biban	biban
bibilikə	bibilică
biblie	biblie
bibliotekar	bibliotecar
bibliotekə	bibliotecă
bitʃikletə	bicicletă
biklə	biclă
bidew	bideu
bjet	biet
bjete	biete
bjetsj	bieți
bilet	bilet
binar	binar
bine	bine
binekuvɨntare	binecuvântare
binefatʃere	binefacere
binefəkətor	binefăcător
binevoi	binevoi
bineɨntseles	bineînțeles
biocimik	biochimic
biokimist	biochimist
biokimistə	biochimistă
bioloɡ	biolog
biolodʒik	biologic
biolodʒie	biologie
bioloɡə	biologă
biotik	biotic
bioksid	bioxid
birman	birman
birow	birou
biruintsə	biruință
biseritʃesk	bisericesc
biserikos	bisericos
biserikutsə	bisericuță
biseksual	bisexual
bismut	bismut
bitumen	bitumen
bituminos	bituminos
bivalent	bivalent
bizon	bizon
blaʒin	blajin
blaʒinətate	blajinătate
blanə	blană
blasfema	blasfema
blasfemie	blasfemie
bleɡ	bleg
blestemat	blestemat
blø	bleu
blok	bloc
bloka	bloca
blokadə	blocadă
bloɡər	blogger
blond	blond
blɨnd	blând
blɨndiʃor	blândișor
blənar	blănar
blənəre̯asə	blănăreasă
bo̯atʃe	boace
bo̯akənə	boacănă
bo̯ala	boala
bobok	boboc
boktʃe̯a	boccea
boem	boem
boɡat	bogat
boj	boi
boja	boia
bojeri	boieri
bojerj	boieri
bolivian	bolivian
bolnav	bolnav
bolnəvjor	bolnăvior
bolɨnd	bolând
bomba	bomba
bombardament	bombardament
bombo̯anə	bomboană
bombə	bombă
bomfajer	bomfaier
bont	bont
bor	bor
borkan	borcan
bortə	bortă
bortso̯asə	borțoasă
bortsos	borțos
bosket	boschet
bos	boss
bosumfla	bosumfla
bosumflat	bosumflat
botanik	botanic
botanikə	botanică
botanist	botanist
botanistə	botanistă
botezat	botezat
botɡros	botgros
botroʃ	botroș
bow	bou
bovin	bovin
boks	box
bokser	boxer
boʃoroɡ	boșorog
braŋkardier	brancardier
brav	brav
brats	braț
bre	bre
bre̯abən	breabăn
brebene̯a	brebenea
brebenel	brebenel
breton	breton
britʃj	brici
bri	brie
brifiŋɡ	briefing
briɡadier	brigadier
britanik	britanic
britanitʃj	britanici
brom	brom
bronz	bronz
brumar	brumar
brumə	brumă
brumərel	brumărel
bruməriw	brumăriu
brun	brun
bruna	bruna
brune	brune
brunj	bruni
brusk	brusc
brutal	brutal
brɨnzə	brânză
brɨw	brâu
brəbin	brăbin
brədio̯arə	brădioară
bubuiturə	bubuitură
bukatə	bucată
butʃile	bucile
bukureʃte̯an	bucureștean
bukureʃtenj	bucureșteni
bukurie	bucurie
bukuros	bucuros
bukətərije	bucătărie
bukətse̯a	bucățea
bukətsi	bucăți
bukətsj	bucăți
buda	buda
budism	budism
bufal	bufal
bufnitsə	bufniță
bufnə	bufnă
bufon	bufon
budʒed	buged
buhaj	buhai
bujestru	buiestru
buʒor	bujor
bulandʒiw	bulangiu
bulevard	bulevard
bulɡare	bulgare
bun	bun
bundʒet	bunget
bunj	buni
bunitʃel	bunicel
bunikuts	bunicuț
bunikutsə	bunicuță
bunikə	bunică
buniʃor	bunișor
bunurj	bunuri
bunuts	bunuț
bunəvointsə	bunăvoință
bura	bura
burɡiw	burghiu
burlak	burlac
burtos	burtos
burə	bură
buzə	buză
bajt	byte
bajtsj	byți
bɨʒbɨi	bâjbâi
bɨrloɡ	bârlog
bɨtlan	bâtlan
bə	bă
bədəran	bădăran
bəɡərets	băgăreț
bəj	băi
bəjetsaʃu	băiețașul
bəjetsaʃul	băiețașul
bəjetsej	băieței
bəjetseij	băiețeii
bəjetselu	băiețelul
bəjetselul	băiețelul
bəl	băl
bəlaj	bălai
bəlan	bălan
bəlbəw	bălbău
bəlməʒe̯alə	bălmăjeală
bəlos	bălos
bəltos	băltos
bəltəw	băltău
bələjor	bălăior
bəltsat	bălțat
bənui	bănui
bənujalə	bănuială
bərbat	bărbat
bərbatsj	bărbați
bərbos	bărbos
bərbəte̯askə	bărbătească
bərbətesk	bărbătesc
bərbətos	bărbătos
bərbətuʃ	bărbătuș
bətaje	bătaie
bətrɨn	bătrân
bətrɨnet	bătrânet
bətrɨnə	bătrână
bətut	bătut
bəubil	băubil
bəut	băut
bəutor	băutor
bəuturə	băutură
k	c
tʃ	c
ka	ca
kabanier	cabanier
kabanə	cabană
kakolodʒie	cacologie
kad	cad
kadavru	cadavrul
kadavrul	cadavrul
kado	cado
kadow	cadou
kadru	cadru
kafe̯a	cafea
kafene̯a	cafenea
kafeniw	cafeniu
kaj	cai
kajman	caiman
kal	cal
kalamar	calamar
kalambur	calambur
kalkan	calcan
kalkar	calcar
kalkare	calcare
kalkaros	calcaros
kaltʃit	calcit
kaltʃju	calciu
kalkul	calcul
kalkulat	calculat
kald	cald
kalde	calde
kaldə	caldă
kale	cale
kalifika	califica
kalifikat	calificat
kaliɡrafie	caligrafie
kalitətsj	calități
kalmar	calmar
kalotə	calotă
kalzj	calzi
kameraman	cameraman
kamerə	cameră
kempinɡ	camping
kanal	canal
kanar	canar
kaŋɡur	cangur
kanibal	canibal
kanibalə	canibală
kanikular	canicular
kanikulə	caniculă
kantata	cantata
kantautor	cantautor
kantinier	cantinier
kanton	canton
kap	cap
kapabil	capabil
kapak	capac
kapital	capital
kapitalist	capitalist
kapitalə	capitală
kapitol	capitol
kaprin	caprin
kaprinə	caprină
kaprə	capră
karakara	caracara
karakteristitʃj	caracteristici
karakteristikə	caracteristică
karameliza	carameliza
karantinə	carantină
karbon	carbon
karbonat	carbonat
karboksilik	carboxilic
kartʃinom	carcinom
kardinal	cardinal
kardinalj	cardinali
kardioloɡ	cardiolog
kardioloɡə	cardiologă
kare	care
karikaturist	caricaturist
karikaturistə	caricaturistă
karne	carne
karnivor	carnivor
karte	carte
karte̯a	cartea
kartezian	cartezian
kartof	cartof
kartoɡraf	cartograf
kartomantsie	cartomanție
kaskador	cascador
kaskadə	cascadă
kasnik	casnic
kast	cast
kastaniw	castaniu
kastel	castel
kastra	castra
kastravete	castravete
katalan	catalan
katalanə	catalană
katapulta	catapulta
katastrofik	catastrofic
katehiza	catehiza
katerisi	caterisi
katife̯a	catifea
katifelat	catifelat
katran	catran
katren	catren
kaute	caute
kauzə	cauză
kau̯zə	cauză
kaval	caval
kaviar	caviar
kazuar	cazuar
kazuistik	cazuistic
kaʃ	caș
kaʃalot	cașalot
kaʃkaval	cașcaval
kaʃə	cașă
katsə	cață
tʃe	ce
tʃe̯a	cea
tʃe̯akɨr	ceacâr
tʃe̯air	ceair
tʃe̯apə	ceapă
tʃe̯arə	ceară
tʃe̯as	ceas
tʃe̯aʃkə	ceașcă
tʃe̯atsə	ceață
tʃetʃen	cecen
tʃee̯a	ceea
tʃeh	ceh
tʃehj	cehi
tʃej	cei
tʃele	cele
tʃelebɾa	celebra
tʃelebru	celebru
tʃeliakie	celiachie
tʃelt	celt
tʃelulə	celulă
tʃeləlalt	celălalt
tʃeltsj	celți
tʃentralj	centrali
tʃenuʃiw	cenușiu
tʃer	cer
tʃeramik	ceramic
tʃeramistə	ceramistă
tʃerka	cerca
tʃertʃel	cercel
tʃertʃetətor	cercetător
tʃere	cere
tʃere̯askə	cerească
tʃeresk	ceresc
tʃereʃtj	cerești
tʃerne̯alə	cerneală
tʃeros	ceros
tʃert	cert
tʃerʃetorie	cerșetorie
tʃetate	cetate
tʃeʃtj	cești
tʃetsos	cețos
kefal	chefal
keja	cheia
kel	chel
keltui	cheltui
kema	chema
kemare	chemare
kemat	chemat
kemətor	chemător
kenar	chenar
kepenɡ	chepeng
kestie	chestie
kjar	chiar
kibzui	chibzui
kibzuintsə	chibzuință
kibzuit	chibzuit
kihlimbar	chihlimbar
