abuʃan	abușan
cimik	chimic
kimion	chimion
kimist	chimist
kimistə	chimistă
kin	chin
kinez	chinez
kinezj	chinezi
kinezo̯ajtʃe	chinezoaice
kinezo̯ajkə	chinezoaică
kinezə	chineză
kinui	chinui
kinuitor	chinuitor
kiot	chiot
kip	chip
tʃips	chips
kir	chir
kiromant	chiromant
kitarə	chitară
kjuli	chiuli
kitskan	chițcan
kristadelfian	christadelfian
tʃi	ci
tʃau	ciao
tʃiklist	ciclist
tʃiklistə	ciclistă
tʃiklon	ciclon
tʃiklostom	ciclostom
tʃikəle̯alə	cicăleală
tʃimbru	cimbru
tʃintʃe̯a	cincea
tʃintʃj	cinci
tʃintʃile̯a	cincilea
tʃintʃime	cincime
tʃinsprezetʃe	cincisprezece
tʃintʃjsprezetʃe	cincisprezece
tʃinsprezetʃe̯a	cincisprezecea
tʃintʃjsprezetʃe̯a	cincisprezecea
tʃinsprezetʃele̯a	cincisprezecelea
tʃintʃjsprezetʃele̯a	cincisprezecelea
tʃintʃjzetʃe̯a	cincizecea
tʃinzetʃe̯a	cincizecea
tʃintʃjzetʃj	cincizeci
tʃinzetʃj	cincizeci
tʃintʃjzetʃile̯a	cincizecilea
tʃinzetʃile̯a	cincizecilea
tʃine	cine
tʃinetik	cinetic
tʃineva	cineva
tʃinɡəto̯are	cingătoare
tʃinstit	cinstit
tʃintezə	cinteză
tʃinzetʃj	cinzeci
tʃinʃpe	cinșpe
tʃinʃpe̯a	cinșpea
tʃinʃpele̯a	cinșpelea
tʃjo̯akə	cioacă
tʃo̯aretʃj	cioareci
tʃo̯arə	cioară
tʃoban	cioban
tʃjobanj	ciobani
tʃjok	cioc
tʃjokolate	ciocolate
tʃjokɨrlan	ciocârlan
tʃjokɨrlie	ciocârlie
tʃjokənito̯are	ciocănitoare
tʃoɾap	ciorap
tʃirak	cirac
tʃirkuit	circuit
tʃirkular	circular
tʃirkularə	circulară
tʃirkumtʃise	circumcise
tʃirkumfleks	circumflex
tʃirkumskrie	circumscrie
tʃire̯aʃə	cireașă
tʃireʃar	cireșar
tʃitets	citeț
tʃitire	citire
tʃitito̯are	cititoare
tʃititor	cititor
tʃitrin	citrin
tʃubər	ciubăr
tʃufuli	ciufuli
tʃufulit	ciufulit
tʃjufut	ciufut
tʃjut	ciut
tʃjutə	ciută
tʃiviliza	civiliza
tʃivilizatsie	civilizație
klantsə	clanță
klapon	clapon
klarj	clari
klasə	clasă
klavetʃin	clavecin
klimatoloɡ	climatolog
klimatoloɡə	climatologă
klinti	clinti
klip	clip
klipej	clipei
klipitə	clipită
klor	clor
kloroform	cloroform
kləntsəw	clănțău
kne̯az	cneaz
ko̯atʃin	coacin
ko̯afor	coafor
ko̯aje	coaie
ko̯aʒə	coajă
ko̯apsə	coapsă
ko̯arnə	coarnă
ko̯ase	coase
kobaj	cobai
kobalt	cobalt
koborɨt	coborât
koborɨ	coborî
kobzə	cobză
kok	coc
kocet	cochet
kokilie	cochilie
koklaurj	coclauri
kokor	cocor
kokos	cocos
kokoʃat	cocoșat
kokoʃatsj	cocoșați
kodalb	codalb
kodalbj	codalbi
kodaʃ	codaș
kodifikat	codificat
kodiriʃte	codiriște
kodirlə	codirlă
kodobaturə	codobatură
kodru	codru
kodrule	codrule
kodɨrlə	codârlă
kofraʒ	cofraj
koʒj	coji
kolaborator	colaborator
kolektatsj	colectați
kolibri	colibri
kolibə	colibă
kolokatsie	colocație
kolofon	colofon
kolorat	colorat
kolətʃel	colăcel
koltsun	colțun
komandant	comandant
kombate	combate
kombinat	combinat
kombinatsie	combinație
komerts	comerț
komestibil	comestibil
komo̯arə	comoară
komorian	comorian
komparatsie	comparație
kompensatsie	compensație
kompetent	competent
kompetentsə	competență
kompetitsie	competiție
komplet	complet
kompleta	completa
komplitʃe	complice
komplimenta	complimenta
komponent	component
komponentə	componentă
komporta	comporta
kompozitsie	compoziție
kompus	compus
komune	comune
komunikatsie	comunicație
komunism	comunism
komuniune	comuniune
komunə	comună
kontʃentrat	concentrat
konklude	conclude
konkordantsə	concordanță
konkret	concret
konditsie	condiție
kondor	condor
kondutʃe	conduce
kondutʃere	conducere
konfiɡurare	configurare
konfirma	confirma
konform	conform
konfuz	confuz
konʒuɡa	conjuga
konʒuɡal	conjugal
konʒuɡare	conjugare
konopidə	conopidă
konsetʃintsə	consecință
konsekvent	consecvent
konsens	consens
konsidera	considera
konsiderabil	considerabil
konsideratsie	considerație
konspiratsie	conspirație
konstruit	construit
konsular	consular
kontabil	contabil
kontabile	contabile
kontabilj	contabili
kontabilə	contabilă
kontadʒios	contagios
kontinental	continental
kontinua	continua
kontinue	continue
kontinuj	continui
kontinuu	continuu
kontinuw	continuu
kontinuə	continuă
kontrabas	contrabas
kontrakt	contract
kontraktual	contractual
kontrar	contrar
kontraventsie	contravenție
kontrazitʃe	contrazice
kontrolatsj	controlați
kontur	contur
konventsie	convenție
konventsional	convențional
konversatsie	conversație
konversie	conversie
konviŋɡətor	convingător
konvinse	convinse
konʃtient	conștient
konʃtii̯ntsə	conștiință
kontsine	conține
kontsinut	conținut
kontsinuturj	conținuturi
kopak	copac
kopia	copia
kopja	copia
kopij	copii
kopiij	copiii
kopil	copil
kopilu	copilul
kopilul	copilul
kopiləri	copilări
kopitə	copită
kopiutsə	copiuță
kopleʃitoru	copleșitorul
kopleʃitorul	copleșitorul
kopt	copt
korb	corb
korbiw	corbiu
kordial	cordial
korekt	corect
koreɡraf	coregraf
koreɡrafə	coregrafă
koridə	coridă
koridʒibil	corigibil
koriʒabil	corijabil
korindon	corindon
kormoran	cormoran
kornut	cornut
koronavirus	coronavirus
korpus	corpus
korupe	corupe
korupt	corupt
kosito̯are	cositoare
kositor	cositor
kosmetitʃian	cosmetician
kosmetitʃianə	cosmeticiană
kosmik	cosmic
kosmonaut	cosmonaut
kosta	costa
kostarikan	costarican
kostier	costier
kostum	costum
kostume	costume
kotets	coteț
kotoj	cotoi
kotor	cotor
kotovajkə	cotovaică
kotovaje	cotovaie
kovriɡ	covrig
kovridʒej	covrigei
kovridʒel	covrigel
kovridʒj	covrigi
koʃmelie	coșmelie
kotsofanə	coțofană
kotsor	coțor
krak	crac
krakə	cracă
krampon	crampon
krap	crap
krater	crater
krea	crea
kreativ	creativ
kreator	creator
kreaturj	creaturi
kreaturə	creatură
kreatsie	creație
kred	cred
kredibil	credibil
kredintʃjos	credincios
kredintsə	credință
krejer	creier
krejon	creion
kreme	creme
kremə	cremă
kreskut	crescut
krevete	crevete
kreʃte̯a	creștea
kreʃtin	creștin
kreʃtine̯askə	creștinească
kreʃtinesk	creștinesc
kreʃtineʃte	creștinește
kreʃtineʃtj	creștinești
krets	creț
kriminoloɡ	criminolog
kriminolodʒik	criminologic
kriminolodʒist	criminologist
kriminolodʒistə	criminologistă
kriminoloɡə	criminologă
krin	crin
krinj	crini
krisalidə	crisalidă
krisopraz	crisopraz
kritik	critic
kritikabil	criticabil
krititʃism	criticism
krizə	criză
kroat	croat
kroatə	croată
krokodil	crocodil
krom	crom
kroŋk	cronc
kronkəw	croncău
kronik	cronic
krutʃadə	cruciadă
krutʃiʃ	cruciș
krud	crud
kruɡ	crug
krɨnɡ	crâng
krəpət	crăpăt
ku	cu
kwantum	cuantum
kubik	cubic
kuk	cuc
kutʃeritor	cuceritor
kukulə	cuculă
kukuve̯a	cucuvea
kudʒeta	cugeta
kulka	culca
kulkuʃ	culcuș
kulorj	culori
kult	cult
kultura	cultura
kum	cum
kumintʃjor	cumincior
kuminte	cuminte
kumplit	cumplit
kumpənə	cumpănă
kumpərəturj	cumpărături
kumpət	cumpăt
kumpəta	cumpăta
kunei̯form	cuneiform
kuno̯aʃte	cunoaște
kunoskut	cunoscut
kunoskətor	cunoscător
kunoʃtintsə	cunoștință
kununa	cununa
kununə	cunună
kuprins	cuprins
kuprinzətor	cuprinzător
kupru	cupru
kuptor	cuptor
kur	cur
kuraʒ	curaj
kuraʒos	curajos
kurat	curat
kurbat	curbat
kurbə	curbă
kurkan	curcan
kurkə	curcă
kure̯a	curea
kurent	curent
kurios	curios
kurist	curist
kursiv	cursiv
kuru	curul
kurul	curul
kururile	cururile
kurɨnd	curând
kurətsa	curăța
kurətsat	curățat
kuskru	cuscru
kuskrə	cuscră
kusturə	custură
kusut	cusut
kutare	cutare
kute	cute
kutie	cutie
kuviintʃjos	cuviincios
kuvios	cuvios
kuvɨnta	cuvânta
kuvɨntare	cuvântare
kuʃer	cușer
kvas	cvas
sajborɡ	cyborg
kɨjne	câine
kɨjnos	câinos
kɨmp	câmp
kɨmpe̯an	câmpean
kɨmpene̯askə	câmpenească
kɨmpenesk	câmpenesc
kɨmpeneʃtj	câmpenești
kɨmpie	câmpie
kɨnd	când
kɨndva	cândva
kɨne	câne
kɨnepə	cânepă
kɨntar	cântar
kɨntare	cântare
kɨntat	cântat
kɨnte	cânte
kɨntek	cântec
kɨntəre̯atsa	cântăreața
kɨntərets	cântăreț
kɨntəretsele	cântărețele
kɨntəretsij	cântăreții
kɨntəretsu	cântărețul
kɨntəretsul	cântărețul
kɨntəri	cântări
kɨntərj	cântări
kɨntətor	cântător
kɨrtʃel	cârcel
kɨrʒə	cârjă
kɨrn	cârn
kɨrpiturə	cârpitură
kɨrtitsə	cârtiță
kɨt	cât
kɨte	câte
kɨte̯odatə	câteodată
kɨtə	câtă
kɨʃtiɡa	câștiga
kɨtsj	câți
kə	că
kətʃj	căci
kətʃjulə	căciulă
kədintsə	cădință
kəi	căi
kəj	căi
kəlare	călare
kəldəraʃ	căldăraș
kəluɡər	călugăr
kəluɡəritsə	călugăriță
kələtor	călător
kəltsun	călțun
kəmaʃə	cămașă
kəmilə	cămilă
kəpetenie	căpetenie
kəpos	căpos
kəpre̯askə	căprească
kəpresk	căpresc
kəpreʃtj	căprești
kəpruj	căprui
kəput	căput
kəpuʃə	căpușă
kəpətui	căpătui
kəpətsɨnos	căpățânos
kəpʃor	căpșor
kəpʃunə	căpșună
kərare	cărare
kərbune	cărbune
kərindar	cărindar
kərnos	cărnos
kərunt	cărunt
kərəbuʃ	cărăbuș
kərəmiziw	cărămiziu
kəskəund	căscăund
kəsj	căsi
kəsnitʃije	căsnicie
kətre	către
kəuta	căuta
kəwta	căuta
kəuʃ	căuș
kəzut	căzut
kəʃuna	cășuna
kətsel	cățel
kətseluʃ	cățeluș
kətseluʃə	cățelușă
d	d
da	da'
datʃj	daci
daktilik	dactilic
daj	dai
dalie	dalie
damnat	damnat
dansat	dansat
dansator	dansator
dar	dar
darəmite	darămite
dat	dat
dator	dator
datoritə	datorită
daw	dau
de̯asupra	deasupra
de̯asə	deasă
debandadə	debandadă
dekafeinizat	decafeinizat
dekaɡram	decagram
dekapitatsie	decapitație
dekapitatsje	decapitație
detʃembrije	decembrie
detʃent	decent
detʃisiv	decisiv
deklaratsie	declarație
deklaratsiː	declarații
deklina	declina
deklinare	declinare
dekora	decora
dekɨt	decât
dedesubt	dedesubt
dedesupt	dedesubt
defel	defel
defilew	defileu
defileurj	defileuri
definitsie	definiție
dedʒenera	degenera
dedʒet	deget
dedʒete	degete
deɡrabə	degrabă
deɡresa	degresa
deɡresat	degresat
deʒun	dejun
delekta	delecta
delektare	delectare
delektərj	delectări
delibera	delibera
delikat	delicat
delikate	delicate
delitʃos	delicios
delitʃju	deliciu
demn	demn
demnitar	demnitar
demoɡraf	demograf
demoɡrafə	demografă
demonstrabil	demonstrabil
dens	dens
dentist	dentist
dentistə	dentistă
deo̯aretʃe	deoarece
deodatə	deodată
de̯odatə	deodată
deosebi	deosebi
deosebit	deosebit
departe	departe
dependent	dependent
deplinətate	deplinătate
deprimat	deprimat
depərta	depărta
depərtare	depărtare
deranʒa	deranja
derivativ	derivativ
derivatsie	derivație
dermatoloɡ	dermatolog
dermatoloɡə	dermatologă
derviʃ	derviș
des	des
deskriere	descriere
deskults	desculț
deskurkərets	descurcăreț
deskətuʃa	descătușa
desfide	desfide
desfəta	desfăta
desfətare	desfătare
desfətərj	desfătări
desfəʃura	desfășura
desfəʃurat	desfășurat
desiɡur	desigur
despotik	despotic
despərtsitor	despărțitor
destin	destin
destinatsie	destinație
desto̯artʃe	destoarce
desəvɨrʃi	desăvârși
detaliat	detaliat
detalju	detaliu
deteriorat	deteriorat
determina	determina
developa	developa
deveni	deveni
devenj	deveni
devreme	devreme
dezambala	dezambala
dezamədʒi	dezamăgi
dezamədʒit	dezamăgit
dezamədʒitor	dezamăgitor
dezɡustətor	dezgustător
dezitʃe	dezice
dezmjerda	dezmierda
dezvolta	dezvolta
dezvoltat	dezvoltat
deʃert	deșert
deʃteptul	deșteptul
deʃteptətʃjune	deșteptăciune
deʃuruba	deșuruba
diakon	diacon
diakritik	diacritic
dialekt	dialect
dialektal	dialectal
dialektolodʒie	dialectologie
diamant	diamant
diastolik	diastolic
diktsionar	dicționar
diferi	diferi
diferit	diferit
difitʃil	dificil
diftonɡa	diftonga
didʒital	digital
diɡn	dign
dihanie	dihanie
dihor	dihor
dimine̯atsa	dimineața
dimine̯atsə	dimineață
dimpreʒur	dimprejur
din	din
dinam	dinam
dinamik	dinamic
dinozaur	dinozaur
dintru	dintru
dintsiʃor	dințișor
dioksid	dioxid
direkt	direct
distʃiplina	disciplina
diskulpa	disculpa
diskutsie	discuție
distantsa	distanța
distantsə	distanță
distinkt	distinct
distrate	distrate
distratsj	distrați
distruktiv	distructiv
distɾudʒe	distruge
distɾudʒere	distrugere
distɾuɡətor	distrugător
divaɡa	divaga
divers	divers
diversifikare	diversificare
dividend	dividend
divin	divin
do	do
do̯amnə	doamnă
do̯ar	doar
dobɨndə	dobândă
doktor	doctor
doktorə	doctoră
dokument	document
doɡmatik	dogmatic
doj	doi
dojle̯a	doilea
dojne	doine
dojnə	doină
dojsprezetʃe	doisprezece
dojsprezetʃele̯a	doisprezecelea
dojʃpe	doișpe
dojʃpele̯a	doișpelea
domestik	domestic
domestitʃi	domestici
domina	domina
domn	domn
domne̯askə	domnească
domnesk	domnesc
domneʃtj	domnești
domnitor	domnitor
domnule	domnule
domol	domol
dor	dor
dorit	dorit
dos	dos
dosi	dosi
dowa	doua
dowə	două
dowəsprezetʃe	douăsprezece
dowəsprezetʃe̯a	douăsprezecea
dowəzetʃe̯a	douăzecea
dowəzetʃj	douăzeci
dowəzetʃile̯a	douăzecilea
dowəʃpe	douășpe
dowəʃpe̯a	douășpea
dratʃj	draci
draɡon	dragon
draɡoste	dragoste
draɡostej	dragostei
draɡə	dragă
dram	dram
dramatik	dramatic
dramaturɡ	dramaturg
drenaʒ	drenaj
drepne̯a	drepnea
dreptatʃj	dreptaci
dreptuŋɟular	dreptunghiular
driadə	driadă
droɡa	droga
droɡat	drogat
droɡurj	droguri
dromader	dromader
dronɡo	drongo
dropie	dropie
drum	drum
drəkos	drăcos
drəkuʃor	drăcușor
dubios	dubios
dublu	dublu
dukal	ducal
dukat	ducat
dutʃe	duce
duh	duh
dujos	duios
dultʃe	dulce
dultʃe̯aɡ	dulceag
dultʃe̯atsə	dulceață
dumesnik	dumesnic
duminika	duminica
duminikə	duminică
dumne̯ajej	dumneaei
dumne̯alor	dumnealor
dumne̯aluj	dumnealui
dumne̯ata	dumneata
dumnezeesk	dumnezeesc
dumnezejaskə	dumnezeiască
dumnezejesk	dumnezeiesc
dumnezejeʃtj	dumnezeiești
dumə	dumă
duŋɡat	dungat
duodetʃimal	duodecimal
dupə	după
dur	dur
dura	dura
dure̯a	durea
durere	durere
dureros	dureros
dururos	dururos
duʃ	duș
duʃman	dușman
dɨrə	dâră
dəlbior	dălbior
dəntsuitor	dănțuitor
dərɨma	dărâma
e	e
je	e
e̯a	ea
ja	ea
ebraik	ebraic
ebraikə	ebraică
ekidnə	echidnă
ekilibru	echilibru
ekinoktsju	echinocțiu
eklektik	eclectic
ekoloɡ	ecolog
ekoloɡə	ecologă
ekonom	econom
ekonomik	economic
ekonomist	economist
ekonomistə	economistă
ekran	ecran
ekranare	ecranare
ekuadorian	ecuadorian
ekuatorial	ecuatorial
editorjal	editorial
editsie	ediție
edukatsie	educație
efektiv	efectiv
efikatʃe	eficace
eɡal	egal
jej	ei
jel	el
jele	ele
elektorat	electorat
elektrik	electric
elektritʃian	electrician
elektritʃianə	electriciană
elektromaɡnetik	electromagnetic
elefant	elefant
elementar	elementar
elibera	elibera
elinikə	elinică
elizew	elizeul
elizewl	elizeul
elokvent	elocvent
elokventsə	elocvență
email	email
imejl	email
emerit	emerit
emiɡra	emigra
emotiv	emotiv
emotsional	emoțional
empirik	empiric
emula	emula
emulator	emulator
entʃiklopedija	enciclopedia
entʃiklopedije	enciclopedie
eŋɡlez	englez
eŋɡleze	engleze
eŋɡlezeʃtj	englezești
enorm	enorm
entomoloɡ	entomolog
entomoloɡə	entomologă
entratə	entrată
entuziasma	entuziasma
epifanije	epifanie
episkopal	episcopal
jeram	eram
erektil	erectil
erektsie	erecție
erede	erede
eronat	eronat
erpetoloɡ	erpetolog
erpetoloɡə	erpetologă
erzats	erzaț
esofadʒitə	esofagită
espadrilə	espadrilă
jeste	este
estetitʃian	estetician
estetitʃianə	esteticiană
estiv	estiv
estival	estival
eston	eston
estonian	estonian
estoniene	estoniene
ettʃetera	etcetera
eterodʒen	eterogen
etil	etil
etilik	etilic
etimwane	etimoane
etimolodʒik	etimologic
etimolodʒie	etimologie
etimon	etimon
etnoloɡ	etnolog
etnoloɡə	etnologă
etoloɡ	etolog
etrusk	etrusc
ew	eu
jew	eu
jo	eu
eu̯ro	euro
europe̯an	european
evapora	evapora
evaziv	evaziv
evlavie	evlavie
evlavios	evlavios
evlaviosu	evlaviosul
evlaviosul	evlaviosul
evrejaskə	evreiască
evrejkə	evreică
evrejesk	evreiesc
evrejeʃtj	evreiești
evre̯u	evreu
eɡzakt	exact
eksadʒerat	exagerat
eksadʒeratsie	exagerație
eɡzasperat	exasperat
ekstʃelent	excelent
ekstʃepta	excepta
ekstʃeptsional	excepțional
eksklude	exclude
ekskretsie	excreție
eɡzekutsie	execuție
eksemplar	exemplar
eɡzertʃita	exercita
ekshuma	exhuma
eɡzotik	exotic
eksotoksinə	exotoxină
ekspatria	expatria
eksperimentat	experimentat
ekspiratsie	expirație
eksplikativ	explicativ
eksplitʃitate	explicitate
eksploatare	exploatare
eksplozibil	explozibil
ekspresie	expresie
eksterior	exterior
eksterna	externa
ekstraordinar	extraordinar
eʃarfə	eșarfă
etsetera	ețetera
f	f
fak	fac
fatʃe	face
fatʃere	facere
fad	fad
faɡot	fagot
fajmos	faimos
fajn	fain
falik	falic
faliment	faliment
falimenta	falimenta
fals	fals
falus	falus
falə	fală
familial	familial
faptu	faptul
faptul	faptul
faptə	faptă
far	far
farmatʃist	farmacist
farmatʃistə	farmacistă
farmakoloɡ	farmacolog
farmakoloɡə	farmacologă
farmek	farmec
fault	fault
faulə	faulă
fazan	fazan
februarie	februarie
februarje	februarie
febrwarie	februarie
febrwarje	februarie
fetʃjo̯arə	fecioară
federal	federal
federativ	federativ
federatsie	federație
fel	fel
felatsiej	felației
felia	felia
felitʃita	felicita
felinə	felină
felul	felul
feluri	feluri
felurj	feluri
felurit	felurit
femej	femei
femeja	femeia
femejaskə	femeiască
femejesk	femeiesc
femejeʃtj	femeiești
femeij	femeii
femele	femele
femelə	femelă
feminine	feminine
fere̯astrə	fereastră
ferestrui	ferestrui
ferestruit	ferestruit
feritʃe	ferice
feritʃire	fericire
feritʃire̯a	fericirea
feritʃit	fericit
fermeka	fermeca
fermekətor	fermecător
fermenta	fermenta
fermentatsie	fermentație
fertil	fertil
fertiliza	fertiliza
fesə	fesă
feudalism	feudalism
fetsj	feți
fetsiʃo̯arə	fețișoară
fjarej	fiarei
fibros	fibros
fidejusiune	fideiusiune
fidejusjune	fideiusiune
fidel	fidel
fiekare	fiecare
fjer	fier
fjerbintʃjor	fierbincior
fjert	fiert
fierəstruit	fierăstruit
fiind	fiind
fiindkə	fiindcă
fiintsa	ființa
fiintse	ființe
fiintsə	ființă
fiʒian	fijian
filamentos	filamentos
filantropik	filantropic
filiɡran	filigran
film	film
filmul	filmul
filozofie	filozofie
fin	fin
finisa	finisa
fir	fir
firav	firav
fire	fire
fire̯askə	firească
fire̯o	fireo
firesk	firesc
firetik	firetic
fireʃte	firește
fireʃtj	firești
fitil	fitil
fitoloɡ	fitolog
fitoloɡə	fitologă
fizik	fizic
fizitʃian	fizician
fizitʃianə	fiziciană
fizioloɡ	fiziolog
fizioloɡə	fiziologă
fitsujkə	fițuică
flamand	flamand
flaminɡo	flamingo
fle̯ak	fleac
flekar	flecar
fleɡmə	flegmă
fleksibil	flexibil
flo̯are	floare
flo̯are̯a	floarea
flokos	flocos
flor	flor
florar	florar
florentin	florentin
florentina	florentina
florentine	florentine
florentinj	florentini
florentinə	florentină
floritʃikə	floricică
florist	florist
floristə	floristă
flotant	flotant
flujera	fluiera
flor	fluor
fluor	fluor
fluvju	fluviu
fləkəw	flăcău
fləmɨnd	flămând
fləmɨnzi	flămânzi
fo̯ame̞	foame
fo̯amete	foamete
fok	foc
fokos	focos
fokə	focă
foitʃikə	foicică
fojos	foios
foljo	folio
folosi	folosi
folosintsə	folosință
fond	fond
fondator	fondator
fondurj	fonduri
fonem	fonem
fonetik	fonetic
forestier	forestier
formal	formal
format	format
formata	formata
formatu	formatul
formatul	formatul
formatə	formată
formatsie	formație
formidabil	formidabil
formulə	formulă
fosfor	fosfor
fosilə	fosilă
fotbal	fotbal
fotbalist	fotbalist
fotbalistə	fotbalistă
fotobiolodʒie	fotobiologie
fotoɡrafij	fotografii
fotolju	fotoliu
fradʒed	fraged
fradʒil	fragil
fraɡment	fragment
fraɡə	fragă
frajer	fraier
fraŋk	franc
frantʃeze	franceze
frantʃezə	franceză
frantsuz	franțuz
frantsuze̯askə	franțuzească
frantsuzesk	franțuzesc
frantsuzeʃtj	franțuzești
frasin	frasin
frekvent	frecvent
frekventativ	frecventativ
frekventsə	frecvență
frikos	fricos
frikə	frică
friɡuro̯asə	friguroasă
friɡuros	friguros
fript	fript
frizeritsə	frizeriță
fruɡal	frugal
frumos	frumos
frumusetse̯a	frumusețea
frunziʃ	frunziș
frunzos	frunzos
frunzə	frunză
frɨmbiat	frâmbiat
frɨna	frâna
frɨndʒe	frânge
frɨnt	frânt
frɨnturə	frântură
frɨnə	frână
frɨw	frâu
frədʒezi	frăgezi
fudul	fudul
fuɡatʃj	fugaci
fudʒi	fugi
fudʒit	fugit
fuɡəri	fugări
fuɡəw	fugău
fuj	fui
fulɡ	fulg
fuldʒerətor	fulgerător
fulɡui	fulgui
fumar	fumar
fumuriw	fumuriu
fumətor	fumător
fundal	fundal
fundamental	fundamental
fundaʃ	fundaș
fundatsie	fundație
fundə	fundă
fura	fura
furios	furios
furnikar	furnicar
furtunos	furtunos
fustə	fustă
futabil	futabil
futandʒiw	futangiu
fututu	fututul
fututul	fututul
futɨnd	futând
fɨntɨnə	fântână
fɨrʃerot	fârșerot
fɨsə	fâsă
fɨʃiwarə	fâșioară
fɨtsə	fâță
fəkətor	făcător
fəɡədui	făgădui
fəɡədujalə	făgăduială
fəɡədujelj	făgăduieli
fəinos	făinos
fəlkos	fălcos
fəptaʃ	făptaș
fəptaʃə	făptașă
fəpturj	făpturi
fəpturə	făptură
fərʃerot	fărșerot
fərʃerotesk	fărșerotesc
fərʃərot	fărșărot
fərʃərotesk	fărșărotesc
fəwrar	făurar
fəuri	făuri
fətsiʃ	fățiș
dʒ	g
ɡ	g
ɡabor	gabor
ɡajtsə	gaiță
ɡalben	galben
ɡalbenj	galbeni
ɡalenə	galenă
ɡalfed	galfed
ɡalju	galiu
ɡalvanizat	galvanizat
ɡamba	gamba
ɡambə	gambă
ɡaraʒ	garaj
ɡarnizo̯anə	garnizoană
ɡarson	garson
ɡastrik	gastric
ɡata	gata
ɡavial	gavial
ɡazelə	gazelă
dʒe̯akə	geacă
dʒe̯am	geam
dʒe̯amən	geamăn
dʒelos	gelos
dʒen	gen
dʒenealodʒist	genealogist
dʒenealodʒistə	genealogistă
dʒenerik	generic
dʒenetitʃian	genetician
dʒenetitʃianə	geneticiană
dʒenju	geniu
dʒeotʃentrik	geocentric
dʒeofizitʃian	geofizician
dʒeofizitʃianə	geofiziciană
dʒeoɡraf	geograf
dʒeoɡrafik	geografic
